cas_confirmes;cas_confirmes_ehpad;deces;deces_ehpad;reanimation;hospitalises;gueris
2;;;;;;
1;;;;;;
0;;0;;;;
1;;0;;;;
4;;;;;;
5;;;;;;
4;;0;;;;
4;;;;;;
1;;;;;;
3;;;;;;
3;;;;;;
3;;;;;;
6;;;;;;
2;;;;;;
1;;;;;;
1;;;;;;
24;;;;;;
1;;;;;;
4;;;;;;
4;;;;;;
;;5;;;;
0;;0;;;;
5;;0;;;;
1;;;;;;1
80;;;;;;
21;;0;;1;;
3;;;;;;
8;;;;;;
3;;;;;;
3;;;;;;
3;;0;;;;
48;;0;;2;;
19;;;;;;
2;;;;;;
8;;;;;;
3;;;;;;
1;;;;;;
3;;;;;;
3;;;;;;
2;;;;;;
3;;;;;;
1;;0;;;;
1;;0;;;;
1;;;;;;
1;;;;;;
0;;;;;;
0;;;;;;
2;;;;;;
2;;;;;;
30;;;;;;
2;;;;;;
10;;;;;;
12;;;;;;
9;;;;;;
26;;1;;;;
613;;9;;39;;
613;;9;;39;;
0;;;;;;
2;;;;;;
5;;;;;;
0;;;;;;
0;;;;;;
131;;1;;;;
89;;;;;;
7;;;;;;
11;;;;;;
80;;0;;;;
78;;;;;;
11;;;;;;
12;;;;;;
97;;;;;;
81;;0;;;;
136;;;;;;
12;;;;;;
16;;;;;;
34;;;;;;
32;;;;;;
11;;;;;;2
11;;;;;;
18;;;;;;
87;;0;;;;6
75;;;;;;
31;;0;;;;
26;;;;;;
5;;0;;0;;0
3;;;;;;
98171;;3385;;;;
101000;;3456;;;;55000
1;;;;;;
2;;;;;;
7;;0;;;;
20;;;;;;
6;;0;;;;
17;;0;;;;
2;;0;;;;
3;;0;;;;
4;;0;;;;
10;;0;;;;
1;;0;;;;
1;;;;;;
2;;;;;;1
0;;;;;;
7;;;;;;
0;;0;;;;
0;;;;;;
0;;;;;;
39;;;;;;
16;;0;;2;;
1;;0;;;;
5;;0;;;;
14;;0;;;;
12;;;;;;
5;;0;;;;
5;;;;;;
3;;0;;;;
2;;0;;;;
3;;;;;;
3;;;;;;
11;;0;;;;
7;;0;;;;
1;;;;;;
4;;;;;;
1;;;;;;
2;;0;;1;;
1;;0;;;;
6;;;;;;
5;;;;;;
4;;;;;;
6;;0;;;;
1;;;;;;
35;;;;;;
8;;;;;;
0;;0;;;;
;;7;;;;
7;;;;;;
0;;0;;;;
3;;;;;;
5;;0;;;;
2;;;;;;1
2;;;;;;
46;;;;;;
32;;0;;5;;
5;;;;;;
10;;;;;;
3;;0;;1;;
58;;0;;3;;
21;;;;;;
2;;1;;;;
8;;;;;;
7;;;;;;
1;;;;;;
2;;0;;;;
3;;0;;;;
2;;0;;;;
2;;0;;;;
0;;;;;;
0;;;;;;
0;;0;;;;
38;;;;;;
5;;;;;;
11;;;;;;
13;;;;;;
10;;;;;;
31;;1;;;;
949;;11;;45;;
949;;16;;45;;
0;;;;;;
2;;;;;;
5;;;;;;
0;;;;;;
0;;;;;;
161;;1;;;;
104;;;;;;
16;;;;;;
106;;0;;;;
129;;;;;;
10;;1;;;;
11;;;;;;
173;;;;;;
250;;;;;;
18;;;;;;
47;;;;;;
40;;;;;;
15;;;;;;2
17;;;;;;
29;;;;1;;1
36;;;;;;
125;;0;;;;6
102;;;;;;
37;;0;;;;
38;;;;;;
19;;0;;0;;0
5;;;;;;
101855;;3488;;;;
102000;;3500;;;;57500
8;;0;;;;
21;;;;;;
0;;0;;;;
8;;0;;;;
21;;0;;;;
3;;0;;;;
1;;0;;;;
1;;0;;;;
8;;;;;;
8;;;;;;
15;;0;;;;
2;;0;;;;
1;;;;;;
7;;;;;;1
7;;;;;;
0;;0;;;;
1;;;;;;
1;;;;;;
0;;0;;;;
0;;;;;;
0;;;;;;
41;;;;;;
16;;1;;1;;
6;;0;;;;
5;;0;;;;
5;;;;;;
5;;0;;;;
1;;;;;;
4;;;;;;
4;;;;;;
18;;;;;;
7;;0;;;;
0;;0;;;;
5;;0;;;;
5;;;;;;
1;;;;;;
0;;0;;;;
6;;0;;2;;
8;;;;;;
8;;;;;;
7;;0;;;;
7;;;;;;
11;;;;;;
10;;;;;;
6;;;;;;
7;;;;;;
6;;0;;;;
5;;0;;;;
1;;0;;;;
1;;;;;;
10;;0;;;;
2;;0;;;;
47;;;;;;
16;;1;;;;
0;;0;;;;
5;;;;;;
9;;;;;;
0;;0;;;;
7;;0;;;;
2;;;;;;1
46;;0;;;;
162;;2;;;;
44;;0;;6;;
5;;;;;;
5;;;;;;
3;;0;;;;
59;;0;;3;;8
26;;;;;;
8;;1;;;;
12;;;;;;
13;;;;;;
1;;;;;;
4;;0;;;;
5;;0;;;;
3;;0;;;;
4;;;;;;
4;;;;;;
1;;;;;;
1;;;;;;
0;;;;;;
15;;0;;;;
4;;;;;;
41;;;;;;
6;;;;;;
19;;;;;;
16;;;;;;
13;;;;;;
39;;1;;;;
1126;;19;;;;
226;;1;;;;
17;;;;;;
112;;0;;;;
22;;1;;;;
262;;3;;45;;
24;;;;;;1
59;;;;;;
29;;;;;;2
146;;1;;;;8
52;;0;;;;
105828;;3584;;;;
1;;;;;;
2;;;;;;
17;;0;;;;
26;;2;;;;
28;;2;;;;
28;;;;;;
1;;0;;;;
12;;0;;;;
22;;0;;;;
6;;0;;;;
1;;0;;;;
1;;0;;;;
14;;0;;;;
8;;0;;;;
25;;0;;;;
2;;0;;;;
1;;;;;;
7;;;;;;1
2;;;;;;
2;;;;;;
0;;0;;;;
0;;;;;;
2;;;;;;
3;;;;;;
44;;;;;;
16;;1;;;;
7;;0;;;;
5;;0;;;;
33;;1;;2;;
23;;;;;;
5;;0;;;;
6;;;;;;
3;;0;;;;
3;;0;;;;
1;;0;;;;
4;;;;;;
24;;0;;;;
11;;0;;;;
1;;0;;;;
1;;;;;;
15;;0;;;;
9;;;;;;
2;;0;;;;
16;;;;;;
15;;;;;;
6;;0;;;;
6;;0;;;;
5;;0;;;;
1;;0;;;;
11;;0;;;;
3;;0;;;;
55;;;;;;
22;;1;;;;
0;;0;;;;
14;;0;;;;
127;;10;;;;
;;8;;;;
0;;0;;;;
6;;1;;;;
4;;;;;;
7;;0;;;;
2;;;;;;1
53;;0;;;;
193;;2;;;;
49;;1;;;;
11;;;;;;
3;;1;;;;
66;;0;;;;8
27;;;;;;
10;;1;;;;
13;;;;;;
25;;;;;;
1;;;;;;
8;;2;;;;
11;;2;;;;
2;;0;;;;
3;;0;;;;
9;;0;;;;
3;;0;;;;
3;;;;;;
3;;;;;;
0;;;;;;
17;;1;;;;
44;;;;;;
7;;;;;;
20;;;;;;
16;;;;;;
15;;;;;;
45;;1;;;;
3;;;;;;
1412;;30;;;;
1412;;25;;66;;
283;;1;;;;
119;;0;;;;
25;;1;;;;
181;;15;;;;
310;;4;;;;
71;;;;;;
39;;;;;;2
60;;;;2;;1
182;;3;;;;8
72;;0;;;;
38;;1;;2;;0
109695;;3811;;;;
111000;;3892;;;;62000
1;;;;;;
2;;;;;;
1;;0;;;0;
23;;0;;;;
30;;2;;;;
31;;2;;;;
2;;0;;;;
14;;0;;;;
23;;0;;;;
6;;0;;;;
1;;0;;;;
1;;0;;;;
22;;;;;;
9;;;;;;
37;;0;;;;
2;;0;;;;
1;;;;;;
13;;;;;;1
13;;;;;;
0;;0;;;;
2;;;;;;
9;;;;;;
0;;0;;;;
0;;0;;;;
0;;;;;;
2;;;;;;
52;;;;;;
20;;1;;;;
11;;0;;;;
5;;0;;;;
7;;0;;;;
7;;0;;;;
36;;2;;2;;
27;;;;;;
6;;0;;;;
7;;;;;;
6;;;;;;
5;;;;;;
5;;;;;;
40;;;;;;
11;;0;;;;
11;;0;;;;
0;;0;;;;
5;;0;;;;
3;;0;;1;;
6;;;;;;
1;;;;;;
0;;0;;;;
29;;0;;4;;
9;;;;;;
7;;0;;;;
23;;;;;;
22;;;;;;
7;;;;;;
6;;0;;;;
6;;0;;;;
5;;0;;;;
1;;0;;;;
1;;;;;;
11;;0;;;;
3;;0;;;;
63;;1;;;;
47;;1;;;;
2;;0;;;;
21;;0;;;;
152;;11;;;;
;;10;;;;
0;;0;;;;
7;;1;;;;
11;;0;;;;
2;;;;;;1
104;;0;;;;
260;;3;;;;
60;;1;;;;
7;;;;;;
13;;;;;;
6;;;;;;
4;;1;;;;
71;;0;;;;8
44;;;;;;
15;;1;;;;
23;;;;;;
35;;;;;;
1;;;;;;
12;;2;;;;
12;;2;;;;
3;;;;;;
4;;;;;;
11;;0;;;;
3;;0;;;;
4;;;;;;
4;;;;;;
4;;;;;;
0;;;;;;
28;;1;;;;
;;1;;;;
6;;;;;;
52;;;;;;
8;;;;;;
28;;;;;;
22;;;;;;
31;;;;;;
55;;1;;;;
1784;;33;;;;
1784;;33;;86;;
0;;;;;;
3;;;;;;
5;;;;;;
0;;;;;;
0;;;;;;
283;;4;;;;
334;;;;;;
17;;;;;;
18;;;;;;
147;;1;;5;;
146;;;;;;
39;;1;;;;
37;;;;;;
222;;16;;;;
209;;;;;;
464;;5;;;;
464;;;;;;
27;;;;;;4
27;;;;;;
81;;;;;;
81;;;;;;
55;;;;;;2
54;;;;;;
61;;;;;;
227;;3;;;;8
211;;;;;;
90;;0;;;;
89;;;;;;
42;;2;;2;;0
42;;;;;;
116000;;4088;;;;64000
1;;;;;;
1;;;;;;
2;;;;;;
1;;0;;;0;
26;;0;;;;
3;;0;;;;
14;;0;;;;
32;;0;;;;
6;;0;;;;
1;;0;;;;
1;;0;;;;
22;;0;;;;
9;;0;;;;
46;;0;;;;
15;;0;;;;
2;;;;;;
2;;;;;;
20;;;;;;1
20;;;;;;
0;;0;;;;
4;;;;;;
4;;;;;;
0;;0;;;;
0;;0;;;;
0;;;;;;
3;;;;;;
;;1;;;;
59;;;;;;
24;;1;;;;
14;;0;;;;
5;;0;;;;
7;;0;;;;
7;;0;;;;
44;;3;;2;;
40;;;;;;
7;;0;;;;
8;;;;;;
6;;0;;;;
7;;0;;;;
3;;0;;;;
7;;;;;;
7;;;;;;
59;;0;;;;
13;;0;;;;
13;;0;;;;
0;;0;;;;
6;;0;;;;
6;;;;;;
13;;0;;;;
;;1;;;;
7;;;;;;
1;;;;;;
0;;0;;;;
34;;0;;5;;
4;;0;;;;
9;;0;;;;
9;;;;;;
3;;0;;;;
24;;;;;;
23;;;;;;
10;;0;;;;
10;;0;;;;
7;;1;;;;
1;;0;;;;
14;;0;;;;
3;;0;;;;
73;;1;;;;
73;;2;;;;
59;;1;;;;
2;;0;;;;
152;;11;;;;
2;;0;;;;
11;;0;;;;
1;;;;;;1
3;;;;;;
1;;0;;;;
108;;3;;;;
359;;3;;;;
72;;1;;;;
9;;;;;;
4;;1;;;;
72;;0;;;;8
80;;;;;;
16;;1;;;;
30;;;;;;
56;;;;;;
1;;;;;;
13;;3;;;;
3;;0;;;;
5;;0;;;;
13;;0;;;;
4;;0;;;;
6;;;;;;
6;;;;;;
1;;;;;;
1;;;;;;
31;;1;;;;
;;1;;;;
7;;;;;;
58;;;;;;
20;;;;;;
47;;;;;;
29;;;;;;
36;;;;;;
59;;1;;;;
0;;;;;;
4;;;;;;
6;;;;;;
1;;;;;;
2281;;48;;;;
2281;;48;;105;;
0;;;;;;
0;;;;;;
3;;;;;;
6;;0;;;;
5;;;;;;
1;;;;;;
0;;;;;;
512;;4;;;;
492;;;;;;
20;;;;;;
20;;;;;;
165;;3;;8;;
155;;;;;;
57;;1;;;;
54;;;;;;
263;;;;;;
587;;9;;;;
578;;;;;;
34;;;;;;
93;;1;;;;
94;;;;;;
72;;;;;;2
66;;;;;;
118;;;;8;;1
87;;;;;;
262;;3;;;;8
264;;;;;;
112;;0;;6;;
111;;;;;;
51;;3;;2;;0
51;;;;;;
118628;;4292;;;;
121500;;4373;;;;66000
4;;;;;;
1;;;;;;
2;;;;;;
3;;0;;;1;
31;;0;;;;
47;;2;;;;
1;;0;;;;
1;;0;;;;
4;;0;;;;
15;;0;;;;
39;;0;;;;
15;;0;;;;
25;;0;;;;
9;;0;;;;
67;;0;;;;
20;;0;;;2;
3;;;;;;
3;;;;;;
20;;;;;;1
1;;0;;;;
5;;;;;;
5;;;;;;
1;;0;;;;
1;;0;;;;
0;;;;;;
5;;;;;;
5;;;;;;
;;1;;;;
33;;1;;;;
17;;0;;;1;
5;;0;;;;
12;;0;;;;
12;;0;;;;
53;;3;;2;;
50;;;;;;
11;;0;;;;
10;;;;;;
17;;0;;;;
13;;0;;;;
3;;0;;;;
9;;;;;;
9;;;;;;
65;;0;;;;
22;;0;;;;
23;;0;;;;
0;;0;;;;
13;;0;;;;
16;;0;;;;
;;1;;;;
2;;;;;;
3;;;;;;
1;;0;;;;
43;;0;;5;;
5;;0;;;;
15;;;;;;
10;;0;;;;
3;;0;;;;
26;;;;;;
25;;;;;;
10;;;;;;
10;;0;;;2;
11;;0;;;;
2;;;;;;
85;;3;;;;
85;;3;;;;
;;0;;;;
34;;0;;;;
194;;14;;;;
194;;15;;;;
2;;0;;;1;
8;;1;;;;
13;;0;;;;
7;;;;;;1
9;;;;;;
2;;0;;;;
3;;0;;;;
87;;5;;;;
;;1;;;;
;;1;;;;
10;;;;;;
6;;1;;;;
83;;0;;;;8
126;;;;;;
19;;1;;;2;
42;;;;;;
70;;;;;;
1;;;;;;
22;;3;;;;
4;;0;;;;
6;;0;;;;
22;;0;;;;
4;;0;;;;
5;;;;;;
6;;;;;;
1;;;;;;
;;1;;;;
30;;;;;;
59;;;;;;
45;;;;;;
48;;;;;;
60;;1;;;;
6;;;;;;
4;;;;;;
2876;;61;;;;
2876;;61;;129;;
0;;;;;;
4;;;;;;
6;;;;;;
3;;;;;;
0;;;;;;
605;;4;;;;
577;;;;;;
30;;;;;;
30;;;;;;
219;;5;;11;;
219;;;;;;
68;;1;;;8;
68;;;;;;
337;;20;;;;
349;;;;;;
699;;;;;;
42;;;;;;4
41;;;;;;
120;;3;;;;
117;;;;;;
88;;;;;;2
87;;;;;;
150;;;;11;;1
133;;;;;;
333;;7;;;;8
329;;;;;;
151;;0;;7;;
147;;;;;;
64;;3;;2;;0
64;;;;;;
125518;;4617;;;;
5;;;;;;
1;;;;;;
1;;;;;;
2;;;;;;1
2;;;;;;
3;;0;;;1;
50;;2;;;;
4;;0;;;;
18;;0;;;;
43;;0;;;;
1;;;;;;
1;;;;;;
25;;0;;;;
10;;0;;;;
93;;0;;;;
32;;0;;;3;
4;;;;;;
23;;;;;;1
1;;0;;;;
5;;;;;;
1;;0;;;;
1;;0;;;;
1;;;;;;
5;;;;;;
;;1;;;;
22;;0;;;4;
7;;0;;;;
22;;0;;;;
22;;0;;;;
70;;5;;2;;
15;;0;;;;
21;;0;;;;
25;;0;;;;
4;;0;;;;
12;;;;;;
69;;0;;;;
34;;0;;;;
34;;0;;;;
0;;0;;;;
13;;0;;;;
;;1;;;;
3;;;;;;
1;;0;;;;
22;;;;;;
11;;0;;;;
3;;0;;;;
34;;;;;;
1;;0;;;;
13;;;;;;
20;;0;;;1;
20;;;;;;
1;;;;;;
4;;;;;;
35;;;;;;
6;;;;;;
100;;3;;;;
100;;3;;;;
114;;;;;;
;;0;;;;
36;;0;;;;
202;;18;;;;
2;;0;;;1;
8;;1;;;;
7;;;;;;1
3;;0;;;;
4;;0;;;;
219;;;;;;
463;;;;;;
;;1;;;;
;;1;;;;
11;;;;;;
21;;1;;;2;
2;;;;;;
29;;5;;;;
4;;0;;;;
6;;0;;;;
48;;0;;;;
5;;0;;;;
6;;;;;;
6;;;;;;
2;;;;;;
44;;;;;;
;;1;;;;
1;;;;;;
1;;;;;;
6;;;;;;
5;;;;;;
3661;;79;;;;
1;;;;;;
1;;;;;;
6;;;;;;
6;;;;;;
5;;;;;;
0;;;;;;
876;;;;;;
721;;;;;;
33;;;;;;
33;;;;;;
272;;5;;15;;
272;;;;;;
97;;1;;;11;
97;;;;;;
368;;26;;;;
397;;;;;;
910;;21;;;;
911;;;;;;
56;;;;;;4
55;;;;;;
157;;3;;;;
155;;;;;;
115;;;;;;2
114;;;;;;
175;;;;17;;3
172;;;;;;
416;;;;;;
211;;0;;11;;
212;;;;;;
85;;5;;2;;0
85;;;;;;
133860;;4967;;;;
3;;;;;;1
1;;;;;;
2;;;;;;1
2;;;;;;
43;;0;;;;
59;;2;;;;
2;;0;;;;
20;;0;;;;
1;;;;;;
1;;;;;;
28;;;;;;
13;;;;;;
50;;0;;;3;
0;;0;;;;
4;;;;;;
25;;;;;;1
2;;0;;;;
5;;;;;;
4;;;;;;
4;;0;;;;
1;;;;;;
7;;;;;;
;;1;;;;
45;;1;;;;
25;;0;;;4;
15;;0;;;;
34;;;;;;
34;;0;;;;
84;;5;;2;;
22;;0;;;;
22;;;;;;
37;;;;;;
6;;;;;;
18;;;;;;
76;;;;;;
34;;;;;;
34;;0;;;;
0;;0;;;;
18;;0;;;;
29;;0;;;;
;;1;;;;
3;;;;;;
2;;0;;;;
54;;1;;5;;
7;;0;;;;
32;;;;;;
17;;0;;;;
3;;;;;;
38;;;;;;
1;;;;;;
23;;;;;;
27;;0;;;1;
21;;;;;;
2;;;;;;
5;;;;;;
38;;;;;;
6;;;;;;
106;;;;;;
106;;3;;;;
122;;;;;;
;;0;;;;
39;;0;;;;
210;;21;;;;
2;;0;;;1;
8;;1;;;;
16;;0;;;;
13;;;;;;1
5;;;;;;
6;;;;;;
239;;;;;;
494;;;;;;
123;;7;;;;
